=== Geração de Áudio — Meu Salmo ===
Aguardando 15s antes de iniciar (rate limit reset)...
Início: 2026-06-04 09:29:23
Voz: pt-BR-Chirp3-HD-Zubenelgenubi  |  Rate: 0.92  |  Total: 150

[  1/150] ⏭️  Salmo 1   → já existe, pulando
[  2/150] ⏭️  Salmo 2   → já existe, pulando
[  3/150] ⏭️  Salmo 3   → já existe, pulando
[  4/150] ⏭️  Salmo 4   → já existe, pulando
[  5/150] ⏭️  Salmo 5   → já existe, pulando
[  6/150] ⏭️  Salmo 6   → já existe, pulando
[  7/150] ⏭️  Salmo 7   → já existe, pulando
[  8/150] ⏭️  Salmo 8   → já existe, pulando
[  9/150] ⏭️  Salmo 9   → já existe, pulando
[ 10/150] ⏭️  Salmo 10  → já existe, pulando
[ 11/150] ⏭️  Salmo 11  → já existe, pulando
[ 12/150] ⏭️  Salmo 12  → já existe, pulando
[ 13/150] ⏭️  Salmo 13  → já existe, pulando
[ 14/150] ⏭️  Salmo 14  → já existe, pulando
[ 15/150] ⏭️  Salmo 15  → já existe, pulando
[ 16/150] ⏭️  Salmo 16  → já existe, pulando
[ 17/150] ⏭️  Salmo 17  → já existe, pulando
[ 18/150] ⏭️  Salmo 18  → já existe, pulando
[ 19/150] ⏭️  Salmo 19  → já existe, pulando
[ 20/150] ⏭️  Salmo 20  → já existe, pulando
[ 21/150] ⏭️  Salmo 21  → já existe, pulando
[ 22/150] ⏭️  Salmo 22  → já existe, pulando
[ 23/150] ⏭️  Salmo 23  → já existe, pulando
[ 24/150] ⏭️  Salmo 24  → já existe, pulando
[ 25/150] ⏭️  Salmo 25  → já existe, pulando
[ 26/150] ⏭️  Salmo 26  → já existe, pulando
[ 27/150] ⏭️  Salmo 27  → já existe, pulando
[ 28/150] ⏭️  Salmo 28  → já existe, pulando
[ 29/150] ⏭️  Salmo 29  → já existe, pulando
[ 30/150] ⏭️  Salmo 30  → já existe, pulando
[ 31/150] ⏭️  Salmo 31  → já existe, pulando
[ 32/150] ⏭️  Salmo 32  → já existe, pulando
[ 33/150] ⏭️  Salmo 33  → já existe, pulando
[ 34/150] ⏭️  Salmo 34  → já existe, pulando
[ 35/150] ⏭️  Salmo 35  → já existe, pulando
[ 36/150] ⏭️  Salmo 36  → já existe, pulando
[ 37/150] ⏭️  Salmo 37  → já existe, pulando
[ 38/150] ⏭️  Salmo 38  → já existe, pulando
[ 39/150] ⏭️  Salmo 39  → já existe, pulando
[ 40/150] ⏭️  Salmo 40  → já existe, pulando
[ 41/150] ⏭️  Salmo 41  → já existe, pulando
[ 42/150] ⏭️  Salmo 42  → já existe, pulando
[ 43/150] ⏭️  Salmo 43  → já existe, pulando
[ 44/150] ⏭️  Salmo 44  → já existe, pulando
[ 45/150] ⏭️  Salmo 45  → já existe, pulando
[ 46/150] ⏭️  Salmo 46  → já existe, pulando
[ 47/150] ⏭️  Salmo 47  → já existe, pulando
[ 48/150] ⏭️  Salmo 48  → já existe, pulando
[ 49/150] ⏭️  Salmo 49  → já existe, pulando
[ 50/150] ⏭️  Salmo 50  → já existe, pulando
[ 51/150] ⏭️  Salmo 51  → já existe, pulando
[ 52/150] ⏭️  Salmo 52  → já existe, pulando
[ 53/150] ⏭️  Salmo 53  → já existe, pulando
[ 54/150] ⏭️  Salmo 54  → já existe, pulando
[ 55/150] ⏭️  Salmo 55  → já existe, pulando
[ 56/150] ⏭️  Salmo 56  → já existe, pulando
[ 57/150] ⏭️  Salmo 57  → já existe, pulando
[ 58/150] ⏭️  Salmo 58  → já existe, pulando
[ 59/150] ⏭️  Salmo 59  → já existe, pulando
[ 60/150] ⏭️  Salmo 60  → já existe, pulando
[ 61/150] ⏭️  Salmo 61  → já existe, pulando
[ 62/150] ⏭️  Salmo 62  → já existe, pulando
[ 63/150] ⏭️  Salmo 63  → já existe, pulando
[ 64/150] ⏭️  Salmo 64  → já existe, pulando
[ 65/150] ⏭️  Salmo 65  → já existe, pulando
[ 66/150] ⏭️  Salmo 66  → já existe, pulando
[ 67/150] ⏭️  Salmo 67  → já existe, pulando
[ 68/150] ⏭️  Salmo 68  → já existe, pulando
[ 69/150] ⏭️  Salmo 69  → já existe, pulando
[ 70/150] ⏭️  Salmo 70  → já existe, pulando
[ 71/150] ⏭️  Salmo 71  → já existe, pulando
[ 72/150] ⏭️  Salmo 72  → já existe, pulando
[ 73/150] ⏭️  Salmo 73  → já existe, pulando
[ 74/150] ⏭️  Salmo 74  → já existe, pulando
[ 75/150] ⏭️  Salmo 75  → já existe, pulando
[ 76/150] ⏭️  Salmo 76  → já existe, pulando
[ 77/150] ⏭️  Salmo 77  → já existe, pulando
[ 78/150] ⏭️  Salmo 78  → já existe, pulando
[ 79/150] ⏭️  Salmo 79  → já existe, pulando
[ 80/150] ⏭️  Salmo 80  → já existe, pulando
[ 81/150] ⏭️  Salmo 81  → já existe, pulando
[ 82/150] ⏭️  Salmo 82  → já existe, pulando
[ 83/150] ⏭️  Salmo 83  → já existe, pulando
[ 84/150] ⏭️  Salmo 84  → já existe, pulando
[ 85/150] ⏭️  Salmo 85  → já existe, pulando
[ 86/150] ⏭️  Salmo 86  → já existe, pulando
[ 87/150] ⏭️  Salmo 87  → já existe, pulando
[ 88/150] ⏭️  Salmo 88  → já existe, pulando
[ 89/150] ⏭️  Salmo 89  → já existe, pulando
[ 90/150] ⏭️  Salmo 90  → já existe, pulando
[ 91/150] ⏭️  Salmo 91  → já existe, pulando
[ 92/150] ⏭️  Salmo 92  → já existe, pulando
[ 93/150] ⏭️  Salmo 93  → já existe, pulando
[ 94/150] ⏭️  Salmo 94  → já existe, pulando
[ 95/150] ⏭️  Salmo 95  → já existe, pulando
[ 96/150] ⏭️  Salmo 96  → já existe, pulando
[ 97/150] ⏭️  Salmo 97  → já existe, pulando
[ 98/150] ⏭️  Salmo 98  → já existe, pulando
[ 99/150] ⏭️  Salmo 99  → já existe, pulando
[100/150] ⏭️  Salmo 100 → já existe, pulando
[101/150] ⏭️  Salmo 101 → já existe, pulando
[102/150] ⏭️  Salmo 102 → já existe, pulando
[103/150] ⏭️  Salmo 103 → já existe, pulando
[104/150] ⏭️  Salmo 104 → já existe, pulando
[105/150] ✅ Salmo 105 → salmo_105.mp3 (994.8 KB) [3 chunks]
[106/150] ✅ Salmo 106 → salmo_106.mp3 (1183.6 KB) [3 chunks]
[107/150] ⏭️  Salmo 107 → já existe, pulando
[108/150] ⏭️  Salmo 108 → já existe, pulando
[109/150] ⏭️  Salmo 109 → já existe, pulando
[110/150] ⏭️  Salmo 110 → já existe, pulando
[111/150] ⏭️  Salmo 111 → já existe, pulando
